================================================================================
 BITÁCORA DE APRENDIZAJE – ACTIVO: DDOG (DATADOG INC.)
 Inicialización: 2026-06-01
================================================================================

[2026-06-01] ENTRADA INICIAL – DÍA 1
- Contexto: Datadog subió +90% en mayo. Plataforma de observabilidad y seguridad impulsada por IA. Guidance de revenue elevado. Q1 resultados muy por encima de estimaciones.
- Catalizadores: Bank of America PT $260. Demanda "best-of-breed" infraestructura software. Nuevos deals masivos de IA. Crecimiento revenue >30%.
- Riesgos: Competencia (New Relic, Splunk). Valoración elevada después del rally. Posible desaceleración de gasto enterprise.
- Confianza inicial: 56% (gran momentum pero rally muy vertical).
- Punto ciego: Correlación con gasto cloud hyperscaler - cualquier desaceleración afectaría.

================================================================================

[2026-06-01] CICLO 22:40 - Precio: $196.45 | Variacion: 0.74% | Prob: 63% | Conf: 56%
[2026-06-05] INTRA 21:06 - $234.11 | -3.9% | Prob: 47% | RSI 60, tendencia alcista, pero insiders vendieron $90M, lo que introduce incertidumbre moderada.
[2026-06-05] INTRA 22:19 - $234.11 | -3.9% | Prob: 49% | RSI alto, MA50 positivo, pero volatilidad alta y presión de insiders.
[2026-06-06] INTRA 05:21 - $234.11 | -3.9% | Prob: 5% | Sentimiento IA negativo y venta interna de insiders reducen confianza; RSI alto y tendencia alcista técnico no compensan la presión de valoración (PE 571).
[2026-06-08] INTRA 17:09 - $230.65 | -1.48% | Prob: 41% | PE extremadamente alto pero crecimiento de ingresos sólido; RSI 58.9 y tendencia alcista respaldan leve upside.
[2026-06-08] INTRA 18:13 - $231.35 | -1.18% | Prob: 42% | Alto PE 565 refleja expectativas de crecimiento; RSI 58, MACD alcista, earnings superaron.
[2026-06-08] INTRA 19:37 - $230.57 | -1.51% | Prob: 42% | Sentimiento IA positivo, crecimiento de ARR, MACD alcista; valoración alta (PE 562) sugiere cautela.
[2026-06-08] INTRA 21:23 - $231.68 | -1.04% | Prob: 43% | Crecimiento de ingresos SaaS sólido; PE extremadamente alto sugiere sobrevaloración, pero earnings beat y tendencia uptrend dan margen limitado.
[2026-06-08] INTRA 22:32 - $231.68 | -1.04% | Prob: 44% | Crecimiento de observabilidad en la nube; valoración muy alta (PE 566) y sentimiento mixto. RSI 59, tendencia alcista.
[2026-06-08] INTRA 23:24 - $231.68 | -1.04% | Prob: 44% | Crecimiento de ingresos SaaS, PE 565 (alto), RSI 59, tendencia uptrend, sentimiento IA positivo (0.75). Riesgo de múltiplos elevados.
[2026-06-09] INTRA 17:41 - $224.93 | -2.91% | Prob: 45% | Crecimiento de ingresos por IA y alta valoración (PE 550) limitan upside; RSI 54 y MACD alcista respaldan leve alza.
[2026-06-09] INTRA 19:29 - $226.74 | -2.13% | Prob: 47% | Lanzamiento de 100+ capacidades IA, PE 553, RSI 54, tendencia alcista; valoración alta limita confianza.
[2026-06-09] INTRA 21:18 - $227.34 | -1.87% | Prob: 49% | Lanzamiento de 100+ capacidades AI refuerza crecimiento; beta alto y PE elevado, pero earnings beat esperado.
[2026-06-09] INTRA 22:28 - $227.34 | -1.87% | Prob: 63% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-09] INTRA 23:26 - $227.34 | -1.87% | Prob: 52% | RSI 55.0 neutro, MACD alcista, tendencia alcista; soporte en 52w low; objetivo 30d 250
[2026-06-11] INTRA 17:06 - $230.5 | 1.26% | Prob: 53% | Creciente adopción de observabilidad en IA; RSI 55.3 y MACD alcista, PE extremadamente alto pero earnings sorpresa +4.84% indica fuerte crecimiento.
[2026-06-11] INTRA 18:36 - $234.09 | 2.84% | Prob: 52% | Crecimiento impulsado por monitoreo de IA; técnico alcista (RSI 56) y alta sorpresa de earnings (+4.84%).
[2026-06-11] INTRA 19:53 - $232.79 | 2.27% | Prob: 51% | Crecimiento de ingresos sólido, PE extremadamente alto (567) sugiere sobrevaloración; RSI 56 y sentimiento positivo moderado.
[2026-06-11] INTRA 21:42 - $234.24 | 2.9% | Prob: 49% | RSI 56.7, MACD alcista, MA50 +33.9%; volumen moderado, soporte en $225.
[2026-06-11] INTRA 23:02 - $234.24 | 2.9% | Prob: 47% | Crecimiento de ingresos sólido, PE muy alto pero justificado por expansión; RSI 56 y MACD alcista.
[2026-06-11] INTRA 23:34 - $234.24 | 2.9% | Prob: 46% | Consenso tras debate: PE 572 muy alto, pero sorpresa EPS +4.84%, RSI 56.7 y MACD alcista respaldan tendencia positiva moderada. Soporte $220, resistencia $250.
[2026-06-12] INTRA 17:55 - $233.55 | -0.29% | Prob: 46% | Ruptura de media móvil de 20 días y sentimiento positivo; alta valoración (PE 570) sugiere riesgo, pero impulso técnico es sólido.
[2026-06-12] INTRA 19:25 - $230.43 | -1.63% | Prob: 47% | Crecimiento de ingresos SaaS, PE 561 refleja sobrevaloración; RSI 53 y tendencia alcista moderada.
[2026-06-12] INTRA 21:17 - $229.9 | -1.85% | Prob: 47% | Sentimiento IA muy positivo (+0.75) y breakout técnico; alta valoración pero crecimiento de ingresos sólido.
[2026-06-12] INTRA 22:33 - $229.9 | -1.85% | Prob: 48% | Sentimiento IA positivo, RSI 53, uptrend; alta valoración (P/E 562) pero fuerte crecimiento de ingresos y breakout técnico respaldan alza.
[2026-06-12] INTRA 23:25 - $229.9 | -1.85% | Prob: 49% | Sentimiento IA negativo, Reddit ligeramente positivo. Técnico alcista (RSI 53) pero P/E extremadamente alto (562). Riesgo de corrección.
[2026-06-15] INTRA 18:24 - $235.6 | 2.48% | Prob: 48% | Consenso tras debate: upgrade a Buy y fuerte impulso técnico son positivos, pero la valoración extremadamente alta (PE 576) introduce riesgo significativo, limitando la confianza.
