BITACORA COST - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Costco (Consumer Defensive). Resilient consumer model. Membership growth. E-commerce expansion.
[2026-06-02] INTRA 05:08 - $946.11 | -1.07% | Prob: 53%
[2026-06-15] INTRA 19:23 - $982.49 | 0.02% | Prob: 49% | Modelo de membresía sólido, impulso de gasolina y e‑commerce; RSI 42 y ligera bajista técnico, pero fundamentals fuertes.
[2026-06-15] INTRA 20:51 - $979.45 | -0.3% | Prob: 49% | Sentimiento negativo, presión de precios, técnico ligera bajista, RSI 40.7; defensivo pero vulnerable a consumo discrecional.
[2026-06-15] INTRA 22:02 - $979.45 | -0.3% | Prob: 49% | Sentimiento IA positivo (0.4) y modelo de membresía sólido; RSI 40.7, ligera-bajista técnico.
[2026-06-15] INTRA 23:10 - $979.45 | -0.3% | Prob: 48% | Fundamentales defensivos, dividend 0.6%; RSI 40.7 y MACD bajista sugieren corrección menor.
[2026-06-15] INTRA 23:56 - $979.45 | -0.3% | Prob: 47% | Alta precisión histórica, tendencia ligera bajista pero fundamentals defensivos, dividendos y flujo de caja sólido.
[2026-06-16] INTRA 18:26 - $984.79 | 0.55% | Prob: 41% | Costco muestra crecimiento de tráfico y modelo defensivo; sentimiento IA positivo, earnings +1.21%. RSI 42.2 y MACD bajista indican ligera corrección.
[2026-06-16] INTRA 19:13 - $984.36 | 0.5% | Prob: 44% | Modelo de membresía defensivo, PE 49.5, dividendos; técnico ligera bajista, RSI 42.4, pero fundamentals fuertes.
[2026-06-16] INTRA 20:28 - $986.68 | 0.74% | Prob: 47% | RSI 43.6, MACD bajista, MA50 -1.6%; soporte débil, tendencia bajista.
[2026-06-16] INTRA 21:59 - $986.68 | 0.74% | Prob: 46% | P/E 49.6, dividend 0.6%, RSI 43.6, ligera bajista técnico pero fundamentals defensivos y crecimiento de ventas.
[2026-06-16] INTRA 23:02 - $986.68 | 0.74% | Prob: 46% | Resultados sólidos y upside de ganancias; RSI 43.6 y ligera bajista técnico, pero fundamentals fuertes.
[2026-06-16] INTRA 23:34 - $986.68 | 0.74% | Prob: 46% | Crecimiento de ventas y margen sólido; sentimiento IA positivo (+0.75) y técnico ligeramente bajista, pero fundamentals fuertes.
[2026-06-17] INTRA 17:01 - $972.31 | -1.46% | Prob: 47% | PE 48, dividend 0.61%, sentimiento negativo por ESG, RSI 42, ligera bajista.
[2026-06-17] INTRA 18:09 - $969.19 | -1.77% | Prob: 48% | Sentimiento negativo (-0.7) y técnico bajista. Riesgo ESG y presión de precios.
[2026-06-17] INTRA 19:42 - $963.62 | -2.34% | Prob: 49% | Presión de consumo DEI y margen comprimido; sin embargo, modelo de membresía brinda flujo estable.
[2026-06-17] INTRA 21:25 - $965.59 | -2.14% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-17] INTRA 22:42 - $965.59 | -2.14% | Prob: 53% | Sentimiento positivo, RSI 39.8 y MACD bajista; aunque corto plazo débil, crecimiento de membresías y poder de compra sostienen upside.
[2026-06-17] INTRA 23:43 - $965.59 | -2.14% | Prob: 52% | Crecimiento de ventas y dividendos; RSI 39.8 y MACD bajista son técnicos menores frente a fundamentals.
[2026-06-18] INTRA 16:48 - $953.95 | -1.21% | Prob: 52% | Leve bajista técnico, pero fundamentals defensivos y dividendos; consumo discrecional estable.
[2026-06-18] INTRA 18:28 - $950.01 | -1.61% | Prob: 53% | RSI 47.7, ligera bajista, pero modelo de membresía fuerte y flujo de caja sólido; dividendos crecientes.
[2026-06-18] INTRA 19:50 - $949.32 | -1.68% | Prob: 52% | Modelo de membresía defensivo, RSI 47.5, ligera bajista técnico, pero fundamentals fuertes y crecimiento digital.
[2026-06-18] INTRA 21:41 - $951.45 | -1.46% | Prob: 53% | Modelo de membresía defensivo, dividendos, RSI 48, ligera bajista técnico pero fundamentals fuertes.
[2026-06-18] INTRA 23:06 - $951.45 | -1.46% | Prob: 53% | Ligera bajista, RSI 48, pero fundamentals fuertes, alta precisión histórica, dividend y crecimiento de membresías.
[2026-06-18] INTRA 23:56 - $951.45 | -1.46% | Prob: 53% | PE 47.9, dividend 0.62%; consumo defensivo sólido, sentimiento positivo y historial de crecimiento de membresías.
[2026-06-19] INTRA 16:23 - $951.45 | -1.46% | Prob: 54% | Ventaja competitiva en membresía, flujo de caja robusto; ligera bajista técnico pero fundamentals muy fuertes.
[2026-06-19] INTRA 17:40 - $951.45 | -1.46% | Prob: 53% | RSI 48, MACD bajista y MA50 -5% indican presión; soporte en 910, resistencia en 990.
[2026-06-19] INTRA 19:14 - $951.45 | -1.46% | Prob: 53% | Presión de márgenes y sentimiento negativo; PE 48, dividendos, RSI 48, ligera bajista; sin catalizador claro.
[2026-06-19] INTRA 22:13 - $951.45 | -1.46% | Prob: 54% | PE 47.9, beta 0.88, RSI 48, ligera bajista, noticias negativas sobre CEO, pero historial de precisión alta.
[2026-06-19] INTRA 23:05 - $951.45 | -1.46% | Prob: 54% | Leve bajista, RSI 48, desafíos operativos y presión de márgenes en retail.
[2026-06-22] INTRA 17:48 - $949.29 | -0.23% | Prob: 53% | Modelo de membresía defensivo y fuerte cash flow; RSI 51 y MACD bajista pero fundamentals muy sólidos.
[2026-06-22] INTRA 19:03 - $948.51 | -0.31% | Prob: 55% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-22] INTRA 21:54 - $951.35 | -0.01% | Prob: 55% | Alta precisión histórica, dividend 0.62%, RSI 52.4, MACD bajista pero fundamentals defensivos y fuerte cash flow.
[2026-06-22] INTRA 22:43 - $951.35 | -0.01% | Prob: 56% | Sentimiento positivo, RSI 52.4, modelo de negocio defensivo y fuerte cash flow; alta precisión histórica.
[2026-06-22] INTRA 23:33 - $951.35 | -0.01% | Prob: 56% | Flujo de caja robusto, expansión de membresías, RSI 52, tendencia bajista ligera pero fundamentals fuertes.
[2026-06-23] INTRA 16:09 - $965.09 | 1.44% | Prob: 57% | Alta precisión histórica (69%); RSI 54.9, dividendos sólidos, aunque ligera bajista técnico, demanda de consumo estable.
[2026-06-23] INTRA 17:37 - $962.11 | 1.13% | Prob: 56% | Sentimiento IA neutral, RSI 53.2, modelo de negocio defensivo, crecimiento de ventas constante y dividendos.
[2026-06-23] INTRA 19:24 - $958.99 | 0.8% | Prob: 55% | Modelo de negocio defensivo, alta precisión histórica (67%); técnico ligeramente bajista pero fundamentals fuertes.
[2026-06-23] INTRA 21:16 - $957.68 | 0.67% | Prob: 55% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-23] INTRA 22:22 - $957.68 | 0.67% | Prob: 54% | Sentimiento neutral, pero modelo defensivo y crecimiento de ventas en consumo esencial; dividendos y PE razonable.
[2026-06-23] INTRA 23:20 - $957.68 | 0.67% | Prob: 53% | Sentimiento positivo, técnico ligeramente bajista pero fundamentals defensivos; crecimiento de ventas sólido y alta lealtad.
[2026-06-24] INTRA 15:55 - $965.53 | 0.82% | Prob: 52% | Sentimiento positivo, técnico ligera-bajista pero fundamentals defensivos. PE 48, crecimiento de ventas y poder de compra sólido.
[2026-06-24] INTRA 17:24 - $960.92 | 0.34% | Prob: 52% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-24] INTRA 19:07 - $963.46 | 0.6% | Prob: 51% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-24] INTRA 21:06 - $961.09 | 0.36% | Prob: 53% | RSI 49.6, MACD bajista, MA50 -3.7%; resistencia cerca de $980, soporte en $940.
[2026-06-24] INTRA 22:18 - $961.09 | 0.36% | Prob: 53% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-24] INTRA 23:17 - $961.09 | 0.36% | Prob: 53% | Sentimiento neutral, ligera bajista técnico; sin embargo, modelo de negocio defensivo y flujo de caja sólido mantienen estabilidad.
[2026-06-25] INTRA 16:01 - $948.03 | -1.36% | Prob: 53% | Ligera tendencia bajista; perfil defensivo ideal para entorno inflacionario.
[2026-06-25] INTRA 17:29 - $938.88 | -2.31% | Prob: 51% | Dividendo estable y posición defensiva; RSI 36.2 y ligera bajista técnico, pero fundamentals fuertes.
[2026-06-25] INTRA 21:17 - $942.24 | -1.96% | Prob: 52% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-25] INTRA 22:35 - $942.24 | -1.96% | Prob: 52% | PE 47.4, beta 0.88, RSI 36.6, ligera bajista; reembolsos de aranceles mejoran margen, consumo defensivo sólido.
[2026-06-25] INTRA 23:25 - $942.24 | -1.96% | Prob: 53% | RSI 36.6, MACD bajista, MA50 -5.5%; soporte $880, resistencia $1000.
[2026-06-26] INTRA 15:51 - $959.38 | 1.82% | Prob: 52% | Ligera-bajista; activo refugio en tiempos de volatilidad.
[2026-06-26] INTRA 19:07 - $953.61 | 1.21% | Prob: 52% | Alta precisión sector consumo defensivo, dividend yield 0.62% y flujo de caja sólido; RSI 42.6 sugiere ligera corrección.
[2026-06-26] INTRA 21:00 - $952.54 | 1.09% | Prob: 52% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-26] INTRA 22:10 - $952.54 | 1.09% | Prob: 51% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-26] INTRA 23:13 - $952.54 | 1.09% | Prob: 53% | Modelo de membresía defensivo, crecimiento de ventas; PE 47.9, dividendos 0.62%; técnico ligera bajista, RSI 42.1.
[2026-06-29] INTRA 16:53 - $948.56 | -0.42% | Prob: 53% | Ligera tendencia bajista; valoración alta (PE 47.67).
[2026-06-29] INTRA 17:51 - $947.3 | -0.55% | Prob: 51% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-29] INTRA 19:15 - $946.78 | -0.6% | Prob: 51% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-29] INTRA 21:04 - $946.68 | -0.62% | Prob: 51% | RSI 38.8, MACD bajista, MA50 -4.9%; soporte en $910, resistencia en $980.
[2026-06-29] INTRA 22:15 - $946.68 | -0.62% | Prob: 51% | Crecimiento de ventas y expansión de tiendas; RSI 38 y tendencia bajista ligera, pero sentiment positivo y dividendos.
[2026-06-29] INTRA 23:00 - $946.68 | -0.62% | Prob: 52% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-30] INTRA 15:50 - $935.73 | -1.16% | Prob: 52% | RSI 38, MACD bajista, MA50 -6%; presión bajista, soporte en $880.
[2026-06-30] INTRA 17:27 - $939.73 | -0.73% | Prob: 52% | PE 47.2, beta 0.88, RSI 38.4, ligera bajista pero fundamentals defensivos, crecimiento de membresías y margen sólido.
[2026-06-30] INTRA 19:10 - $937.92 | -0.93% | Prob: 52% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-30] INTRA 21:11 - $935.47 | -1.18% | Prob: 53% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-30] INTRA 22:18 - $935.47 | -1.18% | Prob: 52% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-30] INTRA 23:16 - $935.47 | -1.18% | Prob: 52% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-01] INTRA 15:52 - $923.95 | -1.23% | Prob: 53% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-01] INTRA 17:28 - $925.71 | -1.04% | Prob: 53% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-01] INTRA 19:10 - $927.23 | -0.88% | Prob: 54% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-01] INTRA 21:02 - $924.67 | -1.15% | Prob: 54% | Modelo de membresía defensivo, alta precisión histórica, RSI 27 indica sobreventa, rebote esperado.
[2026-07-01] INTRA 22:23 - $924.67 | -1.15% | Prob: 56% | PE 46, dividendos 0.64%; sólido flujo de caja; RSI 27 indica sobreventa técnico, pero fundamentals fuertes.
[2026-07-01] INTRA 23:18 - $924.67 | -1.15% | Prob: 56% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-02] INTRA 15:27 - $942.36 | 1.91% | Prob: 55% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-02] INTRA 17:05 - $948.39 | 2.57% | Prob: 55% | RSI 40.9, MACD bajista, MA50 -4.3%, soporte $900, resistencia $1000.
[2026-07-02] INTRA 18:37 - $949.03 | 2.63% | Prob: 54% | RSI 40.6, MACD bajista, MA50 -4.4%; soporte en $910, resistencia en $990.
[2026-07-02] INTRA 20:32 - $951.67 | 2.92% | Prob: 54% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
