BITACORA MSFT - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Microsoft (Azure AI/Copilot). Azure AI growth, Copilot enterprise. Build conference catalysts.
[2026-06-02] INTRA 05:08 - $460.52 | 2.28% | Prob: 63%
[2026-06-04] INTRA 22:27 - $428.05 | 0.17% | Prob: 54% | Leve alza, RSI 58, MACD alcista, buena precisión (42%) y fuerte posición en IA.
[2026-06-04] INTRA 23:15 - $428.05 | 0.17% | Prob: 55% | RSI 58.6, ligera alza, soporte IA, precisión 44% sector pero alta beta.
[2026-06-05] INTRA 16:10 - $421.37 | -1.56% | Prob: 47% | Costos desbocados de IA y narrativa de 'token bill' generan dudas; precisión histórica baja (45%) obliga a moderar expectativas alcistas.
[2026-06-05] INTRA 17:40 - $419.56 | -1.98% | Prob: 47% | RSI 49.4, MACD alcista, fuerte posición IA; sentimiento positivo en IA.
[2026-06-05] INTRA 19:09 - $416.96 | -2.59% | Prob: 48% | RSI 48.2, MACD alcista, IA positivo; tendencia ligera alcista y buena posición en AI ETFs.
[2026-06-05] INTRA 21:06 - $416.67 | -2.66% | Prob: 46% | RSI 48, ligera alza, IA positiva y dividendos; soporte en 400.
[2026-06-05] INTRA 22:19 - $416.67 | -2.66% | Prob: 45% | RSI medio, MA50 positivo, ligera tendencia alcista, buen soporte.
[2026-06-06] INTRA 05:21 - $416.67 | -2.66% | Prob: 38% | Fuerte flujo de caja, dividendos, IA integrada en Azure; RSI moderado y tendencia ligera alcista.
[2026-06-08] INTRA 17:09 - $410.08 | -1.58% | Prob: 40% | AI integrado en Office y Azure; RSI 44.5 y MACD alcista sugieren recuperación gradual.
[2026-06-08] INTRA 18:13 - $411.31 | -1.29% | Prob: 41% | AI Copilot impulsa ingresos, RSI 45, tendencia alcista, PE 24 razonable.
[2026-06-08] INTRA 19:37 - $411.95 | -1.13% | Prob: 42% | AI integration en Azure, dividendos, beta bajo, EPS sólido; MACD alcista, aunque RSI moderado.
[2026-06-08] INTRA 21:23 - $411.74 | -1.18% | Prob: 43% | AI integration en NHS y fuerte posición en cloud; indicadores técnicos ligeramente alcistas y fundamentals sólidos.
[2026-06-08] INTRA 22:32 - $411.74 | -1.18% | Prob: 44% | AI integrado en Azure; RSI 45, MACD alcista y dividendos estables. Buen soporte técnico.
[2026-06-08] INTRA 23:24 - $411.74 | -1.18% | Prob: 45% | Nube y IA, PE 24.5, RSI 45, ligera alcista, dividend yield 0.88%, alta precisión histórica (48%) pero sector sólido.
[2026-06-09] INTRA 17:41 - $401.55 | -2.47% | Prob: 45% | Fuerte posición en IA cloud, pero RSI 44 y MACD alcista indican posible rebote; valoración razonable.
[2026-06-09] INTRA 19:29 - $403.58 | -1.98% | Prob: 47% | Fuerte cash, PE 24, pero RSI 44 y tendencia down; AI cloud sigue siendo motor.
[2026-06-09] INTRA 21:18 - $403.41 | -2.02% | Prob: 49% | AI y cloud siguen impulsando, pero presión macro; RSI 44, MACD alcista, dividendos y flujo de caja robustos.
[2026-06-09] INTRA 22:28 - $403.41 | -2.02% | Prob: 63% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-09] INTRA 23:26 - $403.41 | -2.02% | Prob: 52% | RSI 44.4 bajo, MACD alcista, tendencia bajista; soporte en 52w low; objetivo 30d 420
[2026-06-11] INTRA 17:06 - $387.32 | -2.53% | Prob: 54% | Alianza profunda con Nvidia en AI; RSI 37.5 y MACD mixto, pero fundamentals fuertes y dividendos.
[2026-06-11] INTRA 18:36 - $389.13 | -2.07% | Prob: 55% | Sentimiento IA positivo (0.75), fuerte cash flow y liderazgo en nube; técnico downtrend pero MACD alcista.
[2026-06-11] INTRA 19:53 - $388.32 | -2.28% | Prob: 55% | PE 23, dividendos, RSI 38; MACD alcista sugiere posible rebote tras corrección.
[2026-06-11] INTRA 21:42 - $390.34 | -1.77% | Prob: 54% | RSI 38.6, MACD alcista, MA50 -5%; soporte en $380, posible reversión.
[2026-06-11] INTRA 23:02 - $390.34 | -1.77% | Prob: 53% | Fundamentales robustos, PE 23, dividendos, RSI 39 bajo, pero MACD alcista sugiere rebote.
[2026-06-11] INTRA 23:34 - $390.34 | -1.77% | Prob: 54% | PE 23.3, dividend 0.93%, sorpresa EPS +1.79%, RSI 38.6, MACD alcista pese a tendencia bajista, soporte fuerte en nube.
[2026-06-12] INTRA 17:55 - $387.19 | -0.81% | Prob: 53% | Alta precisión histórica, RSI 37.7 y MACD mixto; AI y productividad impulsan crecimiento, valoración razonable (PE 23).
[2026-06-12] INTRA 19:25 - $389.09 | -0.32% | Prob: 54% | PE 23, dividendos, fuerte cash flow, RSI 38 pero MACD alcista; historial de precisión alto, soporte técnico.
[2026-06-12] INTRA 21:17 - $390.74 | 0.1% | Prob: 53% | Fundamentales robustos, dividendos, IA en Azure; técnico bajista pero MACD alcista indica posible rebote.
[2026-06-12] INTRA 22:33 - $390.74 | 0.1% | Prob: 52% | Sentimiento IA positivo, RSI 39, downtrend técnico pero fundamentals fuertes; liderazgo en IA y nube sostienen crecimiento.
[2026-06-12] INTRA 23:25 - $390.74 | 0.1% | Prob: 51% | Sentimiento neutral, técnico downtrend (RSI 39) pero MACD alcista. Valorización razonable, fuerte posición en cloud y AI.
[2026-06-15] INTRA 18:24 - $399.29 | 2.19% | Prob: 63% | PE 23, dividendos y liderazgo en cloud; técnico downtrend pero MACD alcista y alta precisión histórica (60%).
[2026-06-15] INTRA 19:23 - $399.47 | 2.23% | Prob: 48% | IA y cloud impulsan ingresos, RSI 44 y MACD alcista; buen historial de precisión (59%).
[2026-06-15] INTRA 20:51 - $399.76 | 2.31% | Prob: 46% | Sentimiento positivo, exposición a IA, técnico downtrend pero MACD alcista, RSI 43.8; sólido flujo de caja.
[2026-06-15] INTRA 22:02 - $399.76 | 2.31% | Prob: 45% | Sentimiento IA negativo (-0.65) por litigios, pero fundamentals sólidos; RSI 43.8, MACD alcista sugiere soporte.
[2026-06-15] INTRA 23:10 - $399.76 | 2.31% | Prob: 43% | Sentimiento negativo (-0.45) por litigio, pero fundamentals fuertes; RSI 43.8, MACD alcista brinda soporte.
[2026-06-15] INTRA 23:56 - $399.76 | 2.31% | Prob: 40% | Downtrend técnico pero MACD alcista, PE 23.8 y dividendos atractivos; cloud sigue impulsando ingresos.
[2026-06-16] INTRA 18:26 - $391.31 | -2.11% | Prob: 37% | Microsoft enfrenta presión de valoración y macro; RSI 42.2, MACD bajista, pero earnings sólidos (+1.79%). IA y cloud siguen siendo motores.
