BITACORA AMAT - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Applied Materials (Semicon Equipment). WFE spending +23% a $153B. AI infra buildout.
[2026-06-02] INTRA 05:08 - $458.17 | 1.8% | Prob: 59%
[2026-06-11] INTRA 23:34 - $552.64 | 11.19% | Prob: 49% | PE 51.9, sorpresa EPS +2.83%, RSI 76.1, MACD alcista, demanda de equipos de semiconductores en alza, outlook positivo.
[2026-06-12] INTRA 17:55 - $568.3 | 2.83% | Prob: 47% | Ciclo de equipamiento de semiconductores en alza, RSI 77.1 indica sobrecompra pero fundamentals fuertes.
[2026-06-12] INTRA 19:25 - $567.84 | 2.75% | Prob: 46% | PE 53, liderazgo en equipos de fabricación, RSI 77 sobrecompra pero fundamentals fuertes; upside moderado.
[2026-06-12] INTRA 21:17 - $567.25 | 2.64% | Prob: 45% | Positivo en IA, alta demanda de equipamiento; técnico alcista fuerte (RSI 77).
[2026-06-12] INTRA 22:33 - $567.25 | 2.64% | Prob: 44% | Sentimiento IA positivo, RSI 77, fuerte uptrend; demanda de equipos de fabricación de chips para IA impulsa crecimiento.
[2026-06-12] INTRA 23:25 - $567.25 | 2.64% | Prob: 43% | Sentimiento neutral, técnico uptrend (RSI 77). Valorización alta (P/E 53) pero liderazgo en equipos para AI.
[2026-06-15] INTRA 18:24 - $589.33 | 3.89% | Prob: 42% | PE 55, exposición a IA y capacidad de equipamiento; técnico uptrend con RSI 77 indica sobrecompra pero fundamentals fuertes.
[2026-06-15] INTRA 19:23 - $584.75 | 3.09% | Prob: 41% | Valoración alta (PE 55) y sentimiento negativo; sin embargo, demanda de equipamiento IA sostiene precios.
[2026-06-15] INTRA 20:51 - $585.78 | 3.27% | Prob: 39% | RSI 76.6 (sobrecompra), MACD alcista, fuerte tendencia up, soporte en $540, resistencia en $640.
[2026-06-15] INTRA 22:02 - $585.78 | 3.27% | Prob: 38% | Beneficiado por demanda de equipos de empaquetado; RSI 76.6 sobrecompra, pero fundamentals fuertes.
[2026-06-15] INTRA 23:10 - $585.78 | 3.27% | Prob: 36% | Sentimiento positivo (+0.6) y alta demanda de empaquetado; RSI 76.6 sobrecompra pero fundamentals fuertes.
[2026-06-15] INTRA 23:56 - $585.78 | 3.27% | Prob: 34% | RSI 76.6, MACD alcista, alta demanda de equipos de semicon; PE 55 razonable para sector.
[2026-06-16] INTRA 18:26 - $579.53 | -1.07% | Prob: 31% | Applied Materials se beneficia de demanda de equipos para IA y AR; RSI 76.8, MACD alcista, earnings +2.83%.
[2026-06-16] INTRA 19:13 - $575.82 | -1.7% | Prob: 35% | Posicionamiento en AR y chips avanzados, PE 54.04; técnico uptrend, RSI 75.7 indica momentum fuerte. Sentimiento IA positivo.
[2026-06-16] INTRA 20:28 - $568.23 | -3% | Prob: 38% | RSI 73.4, MACD alcista, MA50 30.3%; soporte fuerte, tendencia alcista.
