BITACORA UBER - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Uber (Mobility/Tech). Autonomous vehicle optionality. Mobility recovery. Delivery growth.
[2026-06-02] INTRA 05:08 - $73.77 | 4.79% | Prob: 56%
[2026-06-08] INTRA 18:13 - $70.15 | -0.79% | Prob: 42% | Sentiment mixto, RSI 34, tendencia bajista; depende de recuperación de viajes.
[2026-06-08] INTRA 19:37 - $70.21 | -0.71% | Prob: 43% | Sentimiento positivo pero RSI bajo y tendencia bajista; crecimiento de rideshare moderado, pérdidas operativas.
[2026-06-08] INTRA 21:23 - $70.06 | -0.92% | Prob: 44% | Presión de tendencia bajista y RSI bajo; earnings modestos y entorno macro desafiante.
[2026-06-08] INTRA 22:32 - $70.06 | -0.92% | Prob: 45% | Presión de precios y tendencia bajista (RSI 34); sin catalizador macro.
[2026-06-08] INTRA 23:24 - $70.06 | -0.92% | Prob: 46% | Movilidad y delivery, RSI 34, downtrend, alta volatilidad, sin ventajas competitivas claras.
[2026-06-09] INTRA 17:41 - $69.96 | -0.14% | Prob: 47% | Presión técnica y RSI bajo, pero AI data factory abre nuevas fuentes de ingresos.
[2026-06-09] INTRA 19:29 - $70.36 | 0.44% | Prob: 47% | Modelo de negocio en transición, RSI 37, tendencia down; sin embargo, mejora operativa reciente.
[2026-06-09] INTRA 21:18 - $70.38 | 0.46% | Prob: 47% | Presión de costos y regulación, pero crecimiento de rideshare; RSI 38, MACD bajista.
[2026-06-09] INTRA 22:28 - $70.38 | 0.46% | Prob: 46% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-09] INTRA 23:26 - $70.38 | 0.46% | Prob: 47% | RSI 37.5 bajo, MACD bajista, tendencia bajista; soporte en 52w low; objetivo 30d 65
[2026-06-11] INTRA 17:06 - $68.16 | -0.66% | Prob: 48% | Sentimiento negativo ( -0.4 ) y datos de PPI; RSI 32.2 y tendencia bajista, riesgo de presión continua.
