BITACORA GE - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - GE Aerospace (Aerospace/Industrial). Aerospace upcycle. AI in manufacturing. Defense spending.
[2026-06-02] INTRA 05:08 - $324.6 | 0.26% | Prob: 55%
[2026-06-05] INTRA 19:09 - $326.42 | -0.38% | Prob: 54% | RSI 83.1 sobrecompra, tendencia ligera alcista, buen flujo de órdenes, precisión 51%; foco en motores GEnx.
[2026-06-05] INTRA 21:06 - $328 | 0.11% | Prob: 59% | RSI 84, tendencia alcista, noticias de motores GEnx impulsan valor.
[2026-06-05] INTRA 22:19 - $328 | 0.11% | Prob: 56% | RSI alto, MA50 positivo, impulso de motores GE en aerolíneas.
[2026-06-06] INTRA 05:21 - $328 | 0.11% | Prob: 45% | Enfoque en motores GEnx y revalorización de aviación; RSI alto, tendencia alcista y sentimiento positivo.
[2026-06-08] INTRA 17:09 - $323.51 | -1.37% | Prob: 47% | Sentimiento IA muy positivo, RSI 77.7 y alianzas en SiC impulsan fuerte upside.
[2026-06-08] INTRA 18:13 - $322.13 | -1.79% | Prob: 48% | Alianza SiC y fuerte impulso técnico, RSI 77, crecimiento industrial sostenido.
[2026-06-08] INTRA 19:37 - $322.69 | -1.62% | Prob: 49% | Alianza con Wolfspeed en SiC, impulso industrial, EPS positivo; RSI alto y MACD alcista.
[2026-06-08] INTRA 21:23 - $322.04 | -1.82% | Prob: 55% | Alianza en silicon carbide y mejora operativa; indicadores técnicos alcistas y outlook industrial positivo.
[2026-06-08] INTRA 22:32 - $322.04 | -1.82% | Prob: 51% | Alianza SiC con Wolfspeed y outlook industrial positivo; RSI 76, tendencia alcista.
[2026-06-08] INTRA 23:24 - $322.04 | -1.82% | Prob: 51% | Reestructuración en aeroespacial, RSI 76, ligera alcista, sentimiento IA negativo, pero mejora operativa.
[2026-06-09] INTRA 17:41 - $324.62 | 0.8% | Prob: 55% | Crecimiento en aeroespacial y energía, RSI 78 y tendencia alcista; exposición a China positiva.
[2026-06-09] INTRA 19:29 - $330.11 | 2.51% | Prob: 51% | Reestructuración en Aerospace, RSI 79, tendencia ligera alcista, deals en China impulsan outlook.
[2026-06-09] INTRA 21:18 - $330.44 | 2.61% | Prob: 51% | Reestructuración industrial y energía verde; RSI 79, MACD alcista, buen impulso de margen.
[2026-06-09] INTRA 22:28 - $330.44 | 2.61% | Prob: 55% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-09] INTRA 23:26 - $330.44 | 2.61% | Prob: 51% | RSI 79.3 alto, MACD alcista, ligera caída; soporte en 52w low; objetivo 30d 350
[2026-06-11] INTRA 17:06 - $323.08 | 1.37% | Prob: 49% | Reestructuración y nuevo CFO impulsan crecimiento; RSI 63.7 y tendencia alcista, dividendos modestos.
[2026-06-11] INTRA 18:36 - $328.83 | 3.18% | Prob: 48% | Reestructuración industrial y mejora de márgenes; técnico ligera alcista y buen flujo de caja.
[2026-06-11] INTRA 19:53 - $331.96 | 4.16% | Prob: 47% | Reestructuración industrial y mejora de márgenes; RSI 68, ligera alza técnica.
[2026-06-11] INTRA 21:42 - $332.76 | 4.41% | Prob: 45% | RSI 68, MACD alcista, MA50 +10.2%; soporte en $320, impulso moderado.
[2026-06-11] INTRA 23:02 - $332.76 | 4.41% | Prob: 43% | Beneficio del hype del IPO de SpaceX y mejora en aeroespacial; RSI 68 y tendencia alcista ligera.
[2026-06-11] INTRA 23:34 - $332.76 | 4.41% | Prob: 42% | PE no disponible, RSI 68, MACD alcista, pero sentimiento negativo y alta exposición a ciclos industriales limitan alza.
[2026-06-12] INTRA 17:55 - $334.87 | 0.63% | Prob: 41% | Iniciativas AI en aerospace y mejora de márgenes; RSI 68.4 y MACD alcista indican impulso.
[2026-06-12] INTRA 19:25 - $336.11 | 1.01% | Prob: 40% | Sentimiento negativo, RSI 69, ligera alza técnica, pero exposición a energía y alta volatilidad.
[2026-06-12] INTRA 21:17 - $335.3 | 0.76% | Prob: 39% | Sentimiento negativo y valoración alta; sin catalizadores claros a corto plazo.
[2026-06-12] INTRA 22:33 - $335.3 | 0.76% | Prob: 39% | Sentimiento neutral, RSI 68, ligera alcista; exposición a aeroespacial y energía renovable brinda upside moderado.
[2026-06-12] INTRA 23:25 - $335.3 | 0.76% | Prob: 38% | Sentimiento neutral, técnico alcista (RSI 68). Reestructuración industrial y analogía con SpaceX brinda impulso.
[2026-06-15] INTRA 18:24 - $344.95 | 2.88% | Prob: 37% | Alianzas en aeroespacial y energía; técnico uptrend con RSI 68 y fuerte impulso de ingresos.
[2026-06-15] INTRA 19:23 - $344.37 | 2.71% | Prob: 36% | Reestructuración industrial y energía verde; RSI 67 y tendencia alcista respaldan repunte.
[2026-06-15] INTRA 20:51 - $342.26 | 2.08% | Prob: 34% | Sentimiento positivo por Vernova, técnico uptrend, RSI 66.7; reestructuración energética en progreso.
[2026-06-15] INTRA 22:02 - $342.26 | 2.08% | Prob: 33% | RSI 66.7 y MACD alcista, MA50 12.5% indica impulso; soporte en $300, resistencia en $400.
[2026-06-15] INTRA 23:10 - $342.26 | 2.08% | Prob: 32% | Sentimiento positivo (+0.7) y fuerte impulso en aeroespacial; RSI 66.7, MACD alcista.
[2026-06-15] INTRA 23:56 - $342.26 | 2.08% | Prob: 30% | Tendencia alcista, RSI 66.7, fuerte impulso en GE Aerospace y mejora de cash flow.
[2026-06-16] INTRA 18:26 - $351.61 | 2.73% | Prob: 27% | GE se recupera con foco en aviación y energía renovable; RSI 69, MACD alcista, earnings +0.08%.
[2026-06-16] INTRA 19:13 - $351.74 | 2.77% | Prob: 28% | Reestructuración industrial y foco en energía, PE no disponible; técnico uptrend, RSI 69.2, fuerte momentum.
[2026-06-16] INTRA 20:28 - $351.79 | 2.78% | Prob: 30% | RSI 69.2, MACD alcista, MA50 15.2%; soporte sólido, impulso positivo.
[2026-06-16] INTRA 21:59 - $351.73 | 2.77% | Prob: 30% | P/E 0 (no disponible), RSI 69.2, uptrend, reestructuración industrial y energía, IA positiva.
[2026-06-16] INTRA 23:02 - $351.73 | 2.77% | Prob: 30% | RSI 69.2, MACD alcista, MA50 +15.2%, tendencia fuerte; soporte 330, resistencia 380.
[2026-06-16] INTRA 23:34 - $351.73 | 2.77% | Prob: 30% | Reestructuración y enfoque en energía verde; técnico alcista (RSI 69.2).
[2026-06-17] INTRA 17:01 - $360.33 | 2.45% | Prob: 30% | PE 30 implícito, RSI 71, fuerte demanda en aviación y defensa, tendencia alcista.
[2026-06-17] INTRA 18:09 - $360.7 | 2.55% | Prob: 30% | Sentimiento neutral y técnico alcista (RSI 71). Reestructuración de GE Aerospace mejora márgenes.
[2026-06-17] INTRA 19:42 - $358.27 | 1.86% | Prob: 29% | Sentimiento negativo y exposición a SpaceX; aunque la división industrial muestra mejora, la incertidumbre persiste.
[2026-06-17] INTRA 21:25 - $357.03 | 1.51% | Prob: 29% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-17] INTRA 22:42 - $357.03 | 1.51% | Prob: 29% | RSI 69.8 y MACD alcista; reestructuración industrial y enfoque en energía renovable mejoran perspectivas.
[2026-06-17] INTRA 23:43 - $357.03 | 1.51% | Prob: 30% | Valoración cercana a fair value y fuerte impulso de energía renovable; RSI 69.8 y MACD alcista respaldan alza.
[2026-06-18] INTRA 16:48 - $358.64 | 0.45% | Prob: 29% | Uptrend, RSI 69, apuesta por energía nuclear y aeroespacial; reestructuración mejora margen.
[2026-06-18] INTRA 18:28 - $359.23 | 0.62% | Prob: 29% | RSI 69.5, tendencia alcista, reestructuración industrial y foco en energía renovable.
[2026-06-18] INTRA 19:50 - $357.87 | 0.24% | Prob: 28% | Recuperación industrial, RSI 69, tendencia alcista, pero sentimiento negativo y alta volatilidad.
[2026-06-18] INTRA 21:41 - $357.64 | 0.17% | Prob: 27% | Data center construction boost, RSI 69, fuerte upside técnico y fundamentals de reestructuración.
[2026-06-18] INTRA 23:06 - $357.64 | 0.17% | Prob: 27% | Uptrend, RSI 69, MACD alcista; exposición a data centers y energía renovable, earnings positivos.
[2026-06-18] INTRA 23:56 - $357.64 | 0.17% | Prob: 27% | Reestructuración en energía y aviación; RSI 69 indica fortaleza, pero incertidumbre de resultados.
[2026-06-19] INTRA 16:23 - $357.64 | 0.17% | Prob: 26% | GE Aerospace con fuerte crecimiento, alta beta y tendencia uptrend; fundamentals en mejora.
[2026-06-19] INTRA 17:40 - $357.64 | 0.17% | Prob: 25% | RSI 69, MACD alcista y MA50 +16% respaldan fuerte uptrend; soporte en 340, resistencia en 380.
[2026-06-19] INTRA 19:14 - $357.64 | 0.17% | Prob: 25% | Reinvención en aerospace y energía, PE 30, RSI 69, fuerte tendencia alcista; respaldo de analistas y sentimiento positivo.
[2026-06-19] INTRA 22:13 - $357.64 | 0.17% | Prob: 25% | Reinvención aeroespacial, RSI 69, tendencia alcista, alta confianza de analistas, PE no disponible, fuerte cash flow.
[2026-06-19] INTRA 23:05 - $357.64 | 0.17% | Prob: 24% | Uptrend, RSI 69, impulso en Aerospace y energía renovable; fuerte cash flow.
[2026-06-22] INTRA 17:48 - $357.31 | -0.09% | Prob: 25% | Creciente backlog en energía y transformación Vernova; RSI 68 y MACD alcista, outlook positivo.
[2026-06-22] INTRA 19:03 - $357.76 | 0.03% | Prob: 25% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-22] INTRA 21:54 - $355.12 | -0.7% | Prob: 26% | RSI 66.8, MACD alcista, diversificación en energía y aviación, pero precisión histórica baja.
[2026-06-22] INTRA 22:43 - $355.12 | -0.7% | Prob: 27% | Uptrend, RSI 66.8, reestructuración de GE Vernova; precisión baja sugiere cautela.
[2026-06-22] INTRA 23:33 - $355.12 | -0.7% | Prob: 28% | Reestructuración en energía y aviación, RSI 67, tendencia uptrend, volatilidad moderada.
[2026-06-23] INTRA 16:09 - $356.07 | 0.27% | Prob: 29% | RSI 72.7, tendencia alcista, fuerte exposición a salud e IA industrial; valoración razonable y dividendos crecientes.
[2026-06-23] INTRA 17:37 - $357.3 | 0.61% | Prob: 28% | Sentimiento IA neutral, RSI 73, fuerte retorno de capital y exposición a energía e infraestructura.
[2026-06-23] INTRA 19:24 - $356.08 | 0.27% | Prob: 28% | Recuperación en energía e IA, RSI 72 indica sobrecompra; fundamentals mejorando.
[2026-06-23] INTRA 21:16 - $356.47 | 0.38% | Prob: 28% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-23] INTRA 22:22 - $356.47 | 0.38% | Prob: 28% | Sentimiento positivo, impulso de energía renovable y alta rentabilidad (RSI 72). Reestructuración y foco en aviación/energía sostienen upside.
[2026-06-23] INTRA 23:20 - $356.47 | 0.38% | Prob: 27% | Sentimiento neutral, técnico uptrend (RSI 72.7). Reestructuración Vernova y fuerte generación de flujo de caja.
[2026-06-24] INTRA 15:55 - $368.91 | 3.49% | Prob: 27% | Sentimiento positivo, técnico uptrend (RSI 78). PE no disponible, pero reestructuración de GE Aerospace y energía renovable impulsan crecimiento.
[2026-06-24] INTRA 17:24 - $365.49 | 2.53% | Prob: 26% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-24] INTRA 19:07 - $367.08 | 2.98% | Prob: 26% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-24] INTRA 21:06 - $365.88 | 2.64% | Prob: 25% | RSI 78 (sobrecompra), MACD alcista, MA50 +17.8%; impulso fuerte en sector energético.
[2026-06-24] INTRA 22:18 - $365.88 | 2.64% | Prob: 24% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-24] INTRA 23:17 - $365.88 | 2.64% | Prob: 24% | Fuerte RSI 78 y tendencia alcista; avances en aeroespacial y energía renovable respaldan crecimiento.
[2026-06-25] INTRA 16:01 - $375.49 | 2.63% | Prob: 23% | Uptrend y RSI sobrecomprado (76.8); dividendos sostienen el precio pero baja precisión del modelo.
[2026-06-25] INTRA 17:29 - $373.26 | 2.02% | Prob: 23% | RSI 76.4 sobrecomprado, pero impulso industrial y AI en energía pueden sostener precios.
[2026-06-25] INTRA 21:17 - $371.36 | 1.5% | Prob: 23% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
