BITACORA AMZN - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Amazon (Cloud/AI/E-commerce). AWS growth 29%, $138B OpenAI deal. Robotics in logistics.
[2026-06-02] INTRA 05:08 - $261.26 | -3.47% | Prob: 62%
[2026-06-04] INTRA 18:00 - $253.79 | 1.51% | Prob: 23% | RSI 38.5, MACD bajista, presión macro y alta beta; sentimiento IA positivo pero precisión 22% muy baja.
[2026-06-04] INTRA 19:33 - $254.06 | 1.62% | Prob: 23% | RSI 38.6, MACD bajista, IA neutral; baja precisión histórica sugiere cautela.
[2026-06-04] INTRA 21:12 - $253.79 | 1.51% | Prob: 15% | RSI bajo, MACD bajista, presión de precios y baja precisión histórica.
[2026-06-04] INTRA 22:27 - $253.79 | 1.51% | Prob: 19% | Uptrend pero RSI 38 (sobreventa) y MACD bajista; sentimiento negativo y baja precisión (19%).
[2026-06-04] INTRA 23:15 - $253.79 | 1.51% | Prob: 22% | RSI 38.4, MACD bajista, alta volatilidad y precisión histórica baja (19%).
[2026-06-05] INTRA 16:10 - $252.65 | -0.45% | Prob: 20% | MACD bajista y RSI 39.9 evidencian debilidad post-rally; precisión histórica muy baja (18%) y narrativa de costos IA pesan sobre el papel.
[2026-06-05] INTRA 17:40 - $253.29 | -0.2% | Prob: 23% | MACD bajista, RSI 40.4 y presión macro; noticias neutrales reducen upside.
[2026-06-05] INTRA 19:09 - $248.21 | -2.2% | Prob: 21% | RSI 36.6, tendencia bajista, volumen moderado, precisión 23%; backlog fuerte pero presión de margen.
[2026-06-05] INTRA 21:06 - $246.03 | -3.06% | Prob: 24% | Tendencia bajista, RSI 36, presión de tasas y noticias mixtas; alta volatilidad.
[2026-06-05] INTRA 22:19 - $246.03 | -3.06% | Prob: 23% | RSI bajo, MA50 negativo, ligera tendencia bajista, presión de competencia.
[2026-06-06] INTRA 05:21 - $246.03 | -3.06% | Prob: 5% | Prime Day impulsa corto plazo, pero tendencia bajista y RSI bajo indican presión; valoración razonable.
[2026-06-08] INTRA 17:09 - $246.07 | 0.02% | Prob: 34% | RSI 34.8 y tendencia bajista; presión de margen y valoración alta pese a iniciativas de IA.
[2026-06-08] INTRA 18:13 - $244.66 | -0.56% | Prob: 35% | Presión de margen, RSI 34, tendencia bajista; sin embargo, crecimiento de AWS mantiene base.
[2026-06-08] INTRA 19:37 - $244.43 | -0.65% | Prob: 36% | Tendencia bajista técnico, presión de margen en retail, pero cloud sigue creciendo; valoración razonable.
[2026-06-08] INTRA 21:23 - $245.22 | -0.33% | Prob: 37% | Presión de precios y tendencia bajista técnico; sin embargo, acuerdos de data center y IA pueden estabilizar.
[2026-06-08] INTRA 22:32 - $245.22 | -0.33% | Prob: 39% | OpenAI Cloud Deal impulsa ingresos, pero RSI 34 y tendencia bajista sugieren corrección breve.
[2026-06-08] INTRA 23:24 - $245.22 | -0.33% | Prob: 40% | E-commerce y cloud, RSI 34 (sobreventa), ligera bajista, PE 29, sentimiento IA positivo (0.78) pero presión de margen.
